Episode,Total_PnL,Max_Drawdown,Sharpe_Ratio,Num_Trades
1,-12331.60,-12331.60,-0.82,401
2,-11233.28,-11233.28,-0.70,397
3,-10640.34,-10712.86,-0.65,404
4,-10702.40,-10702.40,-0.73,411
5,-12310.76,-12310.76,-0.79,403
6,-10976.99,-10976.99,-0.72,412
7,-12223.25,-12223.25,-0.78,409
8,-11397.06,-11397.06,-0.82,388
9,-10116.18,-10116.18,-0.81,402
10,-9683.78,-9683.78,-0.64,372
11,-10773.78,-10773.78,-0.83,372
12,-8815.58,-8831.42,-0.72,332
13,-10795.58,-10795.58,-0.80,332
14,-8186.19,-8186.19,-0.64,271
15,-10981.18,-10996.60,-0.77,402
16,-11447.94,-11447.94,-0.75,374
17,-11163.78,-11163.78,-0.74,372
18,-9848.48,-9848.48,-0.67,337
19,-10796.46,-10796.46,-0.71,318
20,-11037.49,-11037.49,-0.65,387
21,-8666.88,-8666.88,-0.77,317
22,-10770.42,-10770.84,-0.74,380
23,-11185.76,-11185.76,-0.85,403
24,-11421.11,-11426.53,-0.63,426
25,-11387.56,-11387.56,-0.77,363
26,-11864.12,-12019.16,-0.68,395
27,-8845.16,-8868.52,-0.63,333
28,-5641.13,-5641.13,-0.81,164
29,-11963.33,-12060.00,-0.76,385
30,-7818.36,-7818.36,-0.52,373
31,-12490.08,-12511.76,-0.79,357
32,-8727.56,-8727.56,-0.61,363
33,-10246.30,-10246.30,-0.75,366
34,-8327.30,-8327.30,-0.68,316
35,-9579.08,-9579.08,-0.77,407
36,-10226.42,-10241.84,-0.80,330
37,-9962.30,-10007.72,-0.80,316
38,-7704.90,-7704.90,-0.61,286
39,-7326.27,-7326.27,-0.65,247
40,-10122.64,-10122.64,-0.75,339
41,-10918.44,-10918.44,-0.83,349
42,-10550.96,-10550.96,-0.73,343
43,-11036.80,-11036.80,-0.67,341
44,-13827.87,-13827.87,-0.82,398
45,-11314.24,-11314.24,-0.85,359
46,-10056.34,-10092.60,-0.76,354
47,-10652.60,-10652.60,-0.86,351
48,-6979.97,-6979.97,-0.72,262
49,-7101.23,-7228.33,-0.76,259
50,-9067.34,-9067.34,-0.79,304
51,-8067.11,-8067.11,-0.80,245
52,-10105.20,-10105.20,-0.78,321
53,-7704.05,-7704.05,-0.79,288
54,-8463.56,-8463.56,-0.93,313
55,-8275.74,-8275.74,-0.86,284
56,-9462.68,-9462.68,-0.75,327
57,-8326.58,-8326.58,-0.84,282
58,-10952.98,-10952.98,-0.73,362
59,-7529.01,-7529.01,-0.61,300
60,-7945.73,-7945.73,-0.83,284
61,-7542.45,-7558.29,-0.73,268
62,-8133.14,-8133.14,-0.66,314
63,-9207.37,-9207.37,-0.82,292
64,-6400.43,-6400.43,-0.85,249
65,-5251.05,-5251.05,-0.74,188
66,-3283.34,-3283.34,-0.80,123
67,-2592.16,-2592.16,-0.63,102
68,-3168.72,-3179.14,-0.72,134
69,-3600.41,-3600.41,-0.63,130
70,-1723.96,-1723.96,-0.96,62
71,-670.34,-670.34,-0.89,23
72,-383.28,-458.70,-0.57,16
73,-932.40,-932.40,-0.69,30
74,-1016.10,-1016.10,-0.52,45
75,-2373.50,-2373.50,-0.85,75
76,-598.66,-620.76,-0.48,27
77,-2346.02,-2346.02,-0.94,69
78,-1442.74,-1442.74,-0.84,53
79,-1040.72,-1040.72,-0.95,34
80,-1492.32,-1492.32,-1.03,54
81,-375.38,-400.80,-1.01,11
83,-1973.50,-1984.34,-0.81,75
84,-769.92,-769.92,-1.20,24
85,-635.34,-635.34,-0.73,23
86,-1311.94,-1311.94,-0.87,43
87,-677.44,-677.44,-0.98,18
88,-392.90,-392.90,-2.04,5
89,-1714.84,-1714.84,-0.94,48
90,-1556.90,-1607.32,-0.84,55
91,-1156.52,-1156.52,-0.77,44
92,-1388.16,-1388.16,-0.76,52
93,-817.44,-817.44,-1.35,18
94,-851.56,-851.56,-0.96,32
95,-1172.82,-1172.82,-1.36,29
96,-1418.20,-1418.20,-0.99,40
97,-1103.20,-1103.20,-0.51,40
98,-1638.16,-1638.16,-1.19,52
99,-847.40,-847.40,-0.72,30
100,-3752.96,-3752.96,-0.89,112
