Episode,Timestep_Entry,Price_Entry,Timestep_Exit,Price_Exit,PnL,Entry_Action,Exit_Action
1,0,20003.8,1,20000.2,-74.58,0,1
1,2,19998.2,5,19998.8,-14.58,1,0
1,7,19998.5,12,20006.5,120.42,0,1
1,14,20007.8,15,20009.2,-34.58,1,0
1,16,20006.8,17,20009.8,-64.58,1,0
1,18,20009.8,21,20009.8,-9.58,0,1
1,22,20010,27,20003.5,-99.58,0,1
1,28,20004.8,29,20010,-109.58,1,0
1,31,20007.2,32,20002.2,-104.58,0,1
1,34,20002.8,35,20002.2,5.42,1,0
1,36,20005.8,41,20010.2,-14.58,1,0
1,42,20009.8,49,20003.8,-114.58,0,1
1,50,20005.5,51,20005.2,-9.58,0,1
1,52,20005,54,20003.8,20.42,1,0
1,56,20003.5,58,20003.5,-4.58,1,0
1,59,20002.5,66,20002,-14.58,0,1
1,67,20002,68,20002.2,-9.58,1,0
1,69,20001.5,79,20004.2,-64.58,1,0
1,80,20004,84,20005.5,-24.58,1,0
1,85,20003.5,88,20002.8,-19.58,1,0
1,91,20003.2,95,19998.2,-34.58,0,1
1,96,19998,98,20002.8,-99.58,1,0
2,0,20006.5,19,20004.8,-14.58,0,1
2,20,20003.5,25,20005.5,-59.58,1,0
2,27,20005.5,31,20007.5,-44.58,1,0
2,32,20007.5,34,20007.5,-9.58,0,1
2,36,20007.2,39,20005.8,-19.58,1,0
2,42,20006.5,46,20002.8,-39.58,0,1
2,48,20004.5,51,20003.8,-39.58,0,1
2,52,20005.2,53,20006.5,20.42,0,1
2,54,20007,56,20008,-9.58,0,1
2,57,20007.2,59,20005.2,-64.58,0,1
2,60,20005.8,61,20008,-49.58,1,0
2,62,20007.8,65,20007,-19.58,0,1
2,66,20006.2,67,20005.2,-24.58,0,1
2,68,20007.2,73,20008.8,-124.58,1,0
2,78,20009.8,82,20003,-129.58,0,1
2,83,20001.2,84,20001.8,-14.58,1,0
2,87,20000.2,94,20000,-4.58,0,1
2,96,20000,99,20000.2,0.42,0,1
3,1,20006.5,4,20006.2,-19.58,0,1
3,5,20003.8,6,20005,-29.58,1,0
3,8,20007.2,9,20007.5,0.42,0,1
3,12,20002.8,16,20003,35.42,1,0
3,18,20000.5,23,19996.2,-74.58,1,0
3,24,19992.8,30,19992.8,-19.58,1,0
3,31,19987.5,37,19992,-164.58,1,0
3,38,19992,39,19991.8,-9.58,0,1
3,44,19996.5,50,19997.8,-39.58,1,0
3,51,19996.8,55,19998.2,-24.58,1,0
3,56,19996.8,58,19997.2,5.42,0,1
3,59,19995.2,65,19996.2,-9.58,1,0
3,66,19996.2,68,19995.8,-19.58,0,1
3,70,19996.5,71,19996.5,-4.58,0,1
3,74,19995.5,76,19996.8,20.42,0,1
3,78,19996.8,80,19998.2,-44.58,1,0
3,81,19998.5,84,19994.2,-24.58,0,1
3,86,19992.5,89,19998.5,-64.58,1,0
3,90,19996.8,94,19999.2,-49.58,0,1
4,1,19996.8,2,19997,-9.58,1,0
4,4,20001.2,5,20004,50.42,0,1
4,6,20003.5,8,20005,-9.58,1,0
4,9,20004.8,22,20004.5,-19.58,1,0
4,24,20007.8,28,20006.8,-59.58,0,1
4,31,20009.5,42,20003.8,-49.58,0,1
4,47,20001,54,19996.5,-89.58,0,1
4,55,19998.8,58,20005.5,-184.58,1,0
4,60,20004.5,61,20006,25.42,0,1
4,68,20009.8,74,20009.2,-14.58,0,1
4,77,20008.2,81,20008.5,15.42,1,0
4,84,20007.2,85,20005.2,-44.58,0,1
4,88,20005.8,89,19998.8,-144.58,0,1
4,90,20002.5,94,20000.2,-124.58,0,1
5,0,20002.8,11,20003.5,-9.58,1,0
5,12,20002.8,16,20003.5,-9.58,1,0
5,24,20001.2,26,19999.8,15.42,1,0
5,29,19996.5,34,19995.8,-4.58,1,0
5,36,19997.2,39,19995.2,-24.58,0,1
5,44,19995.2,45,19995.2,-4.58,1,0
5,47,19995,54,20000.5,-34.58,1,0
5,55,20001,60,20003.5,-59.58,1,0
5,61,20002.8,68,20003.8,-39.58,1,0
5,73,20000.2,89,19999,0.42,1,0
5,94,20006,95,20006,-4.58,1,0
6,0,19993,6,19999.8,-14.58,1,0
6,9,20000.2,11,19996.2,75.42,1,0
6,12,19995.5,14,19998.5,-24.58,0,1
6,16,19993,19,19988.2,-49.58,0,1
6,22,19992,30,19995.2,-9.58,0,1
6,33,19998.2,36,19998.5,-49.58,1,0
6,38,19994.8,56,19990.8,-9.58,0,1
6,60,19989,68,19994.5,-4.58,0,1
6,69,19994.8,91,19993.2,-54.58,0,1
6,92,19992,94,19995,-64.58,1,0
6,95,19995.8,98,19993.5,-29.58,0,1
7,0,20003,6,19999.2,15.42,1,0
7,9,19997.8,23,19998.2,-19.58,1,0
7,24,19997.5,37,19997.8,-19.58,1,0
7,39,19997,40,19998.5,-34.58,1,0
7,51,20002,57,20009.8,-44.58,1,0
7,60,20007,68,20010.2,-89.58,1,0
7,73,20007.2,77,20005.5,-19.58,1,0
7,83,19997.5,90,20006.2,-59.58,1,0
8,6,20003.2,21,20003.8,-44.58,1,0
8,22,20004,23,20001.8,-49.58,0,1
8,25,20001,27,20001.5,5.42,1,0
8,28,20003.8,35,20001.2,-14.58,1,0
8,37,20000.8,42,20001,-14.58,1,0
8,43,20000.8,45,20000.8,-4.58,1,0
8,48,20000.5,52,20001.2,-9.58,1,0
8,53,20000.2,54,20001.2,-24.58,1,0
8,56,20001.5,61,19999.2,-39.58,0,1
8,69,20000.8,75,20001.5,-9.58,1,0
8,76,19998.5,83,20002.2,-44.58,1,0
8,85,20001.8,87,20004.2,-69.58,1,0
8,89,19997.8,91,20001.5,-64.58,1,0
8,94,20002.5,98,20007.8,-14.58,1,0
9,1,20004.2,3,20002,-49.58,0,1
9,4,20002.5,7,19998.5,-19.58,0,1
9,9,19998.5,10,19999.2,-19.58,1,0
9,11,19998.5,23,19997.5,-4.58,1,0
9,27,20002.5,31,20000.2,-69.58,0,1
9,32,20000.5,38,20000,-39.58,0,1
9,39,20001,53,20005.8,20.42,1,0
9,54,20006,55,20006.5,-14.58,1,0
9,56,20004.5,58,20003.8,-9.58,1,0
9,59,20002.5,65,20008.2,-69.58,1,0
9,68,20005.2,77,20003,40.42,1,0
9,78,20003.5,80,20001,45.42,1,0
9,81,20000.8,82,20000,-19.58,0,1
9,85,19999.5,94,19996.8,-9.58,1,0
10,0,20001.5,3,20000,85.42,1,0
10,6,20008.5,15,19999.8,-74.58,0,1
10,16,19996.8,28,19993,-19.58,1,0
10,30,19991.8,43,19997.2,-44.58,1,0
10,44,19996,47,20000.5,5.42,0,1
10,48,20002.2,55,20008.8,-24.58,1,0
10,57,20009.2,61,20005,5.42,0,1
10,64,20005,65,20005.8,-19.58,1,0
10,69,20005,78,20003.8,-59.58,1,0
10,79,20000.8,81,20004.2,-39.58,0,1
10,83,20006,86,20002.8,-69.58,0,1
10,87,20004.5,96,20005.8,-34.58,1,0
11,2,20001.8,10,20007.5,-64.58,1,0
11,11,20006,16,19999.5,55.42,1,0
11,17,19998,28,19988.8,-44.58,1,0
11,29,19986.5,31,19986.2,5.42,0,1
11,32,19987.5,35,19988.5,-49.58,1,0
11,36,19989,45,19989,-79.58,0,1
11,46,19990.2,50,19995,-99.58,1,0
11,52,19996.5,54,19997.8,40.42,1,0
11,56,19995.8,58,19998.2,-29.58,1,0
11,59,19997.2,61,19995.8,-4.58,1,0
11,62,19997.2,66,19994.2,-49.58,0,1
11,67,19994.8,68,19993.5,-29.58,0,1
11,69,19995,70,19993.2,-39.58,0,1
11,71,19993,79,19998.8,-124.58,1,0
11,82,19998,85,19998.2,55.42,1,0
11,87,19999.5,89,19997.2,-9.58,0,1
11,91,19997.8,95,19997.5,-19.58,0,1
11,96,19997.2,97,19997.8,-14.58,1,0
11,98,19998.5,99,19997.8,-19.58,0,1
12,3,20000,5,20006.2,-109.58,1,0
12,8,20000.2,16,20003,-59.58,0,1
12,17,20006.8,18,20005.8,-24.58,0,1
12,19,20005.2,22,20008,-24.58,1,0
12,24,20008,28,20005.8,-49.58,0,1
12,30,20004.5,32,19999.5,-104.58,0,1
12,34,19996.2,35,19996.5,-9.58,1,0
12,37,19997.2,38,19999.8,-54.58,1,0
12,39,19995.8,43,20002,-134.58,1,0
12,44,20003.8,48,20003.5,-39.58,0,1
12,49,20004,50,20007,-64.58,1,0
12,51,20008.2,53,20007.5,-19.58,0,1
12,54,20007.5,56,20001.8,-119.58,0,1
12,57,20002.8,58,20003.2,5.42,0,1
12,59,20008.2,61,20005.8,-54.58,0,1
12,64,20008.8,65,20006.5,-49.58,0,1
12,69,20009,73,20006.2,-59.58,0,1
12,74,20006,78,20009.2,-24.58,1,0
